Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning
Qwen/Qwen3-VL-Embedding-2B,Alibaba / Qwen,Embedding,2B,2B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-VL-Embedding-8B,Alibaba / Qwen,Embedding,8B,8B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-VL-Reranker-2B,Alibaba / Qwen,Embedding,2B,2B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3-VL-Reranker-8B,Alibaba / Qwen,Embedding,8B,8B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3Guard-Gen-0.6B,Alibaba / Qwen,Safety & Moderation,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3Guard-Gen-4B,Alibaba / Qwen,Safety & Moderation,4B,4B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3Guard-Gen-8B,Alibaba / Qwen,Safety & Moderation,8B,8B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3Guard-Stream-0.6B,Alibaba / Qwen,Safety & Moderation,0.6B,0.6B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3Guard-Stream-4B,Alibaba / Qwen,Safety & Moderation,4B,4B,Offline: Official Hugging Face / Open Weight,No
Qwen/Qwen3Guard-Stream-8B,Alibaba / Qwen,Safety & Moderation,8B,8B,Offline: Official Hugging Face / Open Weight,No
deepseek-ai/DeepSeek-V3.2-Exp,DeepSeek,General-Purpose,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
DeepSeek-R1,DeepSeek,General-Purpose,671B,37B/token,Offline: Open Weight,Yes
DeepSeek-R1-Distill-Llama-70B,DeepSeek,General-Purpose,70B,70B,Offline: Open Weight,Yes
DeepSeek-R1-Distill-Llama-8B,DeepSeek,General-Purpose,8B,8B,Offline: Open Weight,Yes
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,General-Purpose,1.5B,1.5B,Offline: Open Weight,Yes
DeepSeek-R1-Distill-Qwen-14B,DeepSeek,General-Purpose,14B,14B,Offline: Open Weight,Yes
DeepSeek-R1-Distill-Qwen-32B,DeepSeek,General-Purpose,32B,32B,Offline: Open Weight,Yes
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,General-Purpose,7B,7B,Offline: Open Weight,Yes
deepseek-v4-flash,DeepSeek,General-Purpose,284B,13B/token,Both: Chat / API / Open Weight,Yes
deepseek-v4-pro,DeepSeek,General-Purpose,1.6T,49B/token,Both: Chat / API / Open Weight,Yes
kimi-k2.6,Moonshot AI / Kimi,General-Purpose,Undisclosed,Undisclosed,Online: Kimi / API,Yes
kimi-k3,Moonshot AI / Kimi,General-Purpose,2.8T,Undisclosed,Online: Kimi / API,Yes
kimi-k2.7-code,Moonshot AI / Kimi,Coding,Undisclosed,Undisclosed,Online: API,Yes
kimi-k2.7-code-highspeed,Moonshot AI / Kimi,Coding,Undisclosed,Undisclosed,Online: API,Yes
GLM-4.1V-Thinking-Flash,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.1V-Thinking-FlashX,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.5-Air,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.5-AirX,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.6,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.6V,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.6V-Flash,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.7,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.7-Flash,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-4.7-FlashX,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-5,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-5-Turbo,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-5.1,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-5.2,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-5.3,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-5.2 (open weight),Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Offline: Open Weight,Yes
GLM-5V-Turbo,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Online: BigModel API,Yes
GLM-OCR,Zhipu AI / GLM,General-Purpose,0.9B,0.9B,Both: API / Open Weight,No
zai-org/GLM-4.5,Zhipu AI / GLM,General-Purpose,355B,32B/token,Offline: Official Hugging Face / Open Weight,Yes
zai-org/GLM-4.5-Air,Zhipu AI / GLM,General-Purpose,106B,12B/token,Offline: Official Hugging Face / Open Weight,Yes
zai-org/GLM-5,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Both: API / Official Hugging Face Open Weight,Yes
zai-org/GLM-5.1,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Both: API / Official Hugging Face Open Weight,Yes
zai-org/GLM-5.2,Zhipu AI / GLM,General-Purpose,Undisclosed,Undisclosed,Both: API / Official Hugging Face Open Weight,Yes
CogView-3-Flash,Zhipu AI / GLM,Image Generation,Undisclosed,Undisclosed,Online: BigModel API,No
CogView-4,Zhipu AI / GLM,Image Generation,Undisclosed,Undisclosed,Online: BigModel API,No
GLM-Image,Zhipu AI / GLM,Image Generation,Undisclosed,Undisclosed,Online: BigModel API,No
CogVideoX-3,Zhipu AI / GLM,Video Generation,Undisclosed,Undisclosed,Online: BigModel API,No
GLM-4-Voice,Zhipu AI / GLM,Speech & Audio,Undisclosed,Undisclosed,Online: BigModel API,No
GLM-ASR-2512,Zhipu AI / GLM,Speech & Audio,Undisclosed,Undisclosed,Online: BigModel API,No
GLM-Realtime,Zhipu AI / GLM,Speech & Audio,Undisclosed,Undisclosed,Online: BigModel API,No
GLM-TTS,Zhipu AI / GLM,Speech & Audio,Undisclosed,Undisclosed,Online: BigModel API,No
GLM-TTS-Clone,Zhipu AI / GLM,Speech & Audio,Undisclosed,Undisclosed,Online: BigModel API,No
M2-her,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,No
MiniMax-M2,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
MiniMax-M2.1,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
MiniMax-M2.1-highspeed,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
MiniMax-M2.5,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
MiniMax-M2.5-highspeed,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
MiniMax-M2.7,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
MiniMax-M2.7-highspeed,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
MiniMax-M3,MiniMax,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
MiniMaxAI/MiniMax-M1-40k,MiniMax,General-Purpose,456B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
MiniMaxAI/MiniMax-M1-80k,MiniMax,General-Purpose,456B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
MiniMaxAI/MiniMax-M2,MiniMax,General-Purpose,229B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
MiniMaxAI/MiniMax-M2.1,MiniMax,General-Purpose,229B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
MiniMaxAI/MiniMax-M2.5,MiniMax,General-Purpose,229B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
MiniMaxAI/MiniMax-M2.7,MiniMax,General-Purpose,229B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
MiniMaxAI/MiniMax-M3,MiniMax,General-Purpose,428B,23B/token,Offline: Official Hugging Face / Open Weight,Yes
MiniMaxAI/MiniMax-Text-01,MiniMax,General-Purpose,456B,45.9B/token,Offline: Official Hugging Face / Open Weight,No
MiniMaxAI/MiniMax-VL-01,MiniMax,General-Purpose,456B,45.9B/token,Offline: Official Hugging Face / Open Weight,No
MiniMax Image,MiniMax,Image Generation,Undisclosed,Undisclosed,Online: API,No
MiniMax Video,MiniMax,Video Generation,Undisclosed,Undisclosed,Online: API,No
MiniMaxAI/MiniMax-H3,MiniMax,Video Generation,33B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
MiniMax Music,MiniMax,Speech & Audio,Undisclosed,Undisclosed,Online: API,No
MiniMax Speech,MiniMax,Speech & Audio,Undisclosed,Undisclosed,Online: API,No
doubao-seed-1.8,ByteDance / Doubao-Seed,General-Purpose,Undisclosed,Undisclosed,Online: Volcano Ark API,Yes
doubao-seed-2-0-lite-260428,ByteDance / Doubao-Seed,General-Purpose,Undisclosed,Undisclosed,Online: Volcano Ark API,Yes
doubao-seed-2-0-mini-260428,ByteDance / Doubao-Seed,General-Purpose,Undisclosed,Undisclosed,Online: Volcano Ark API,Yes
doubao-seed-2.1-pro,ByteDance / Doubao-Seed,General-Purpose,Undisclosed,Undisclosed,Online: Volcano Ark API,Yes
doubao-seed-2.1-turbo,ByteDance / Doubao-Seed,General-Purpose,Undisclosed,Undisclosed,Online: Volcano Ark API,Yes
Doubao Seedream 5.0 lite,ByteDance / Doubao-Seed,Image Generation,Undisclosed,Undisclosed,Online: Volcano Ark API,No
Doubao Seedream 5.0 pro,ByteDance / Doubao-Seed,Image Generation,Undisclosed,Undisclosed,Online: Volcano Ark API,No
Doubao Seedance 2.0,ByteDance / Doubao-Seed,Video Generation,Undisclosed,Undisclosed,Online: Volcano Ark API,No
Doubao Seedance 2.5,ByteDance / Doubao-Seed,Video Generation,Undisclosed,Undisclosed,Online: Volcano Ark API,No
ERNIE 5.0,Baidu / ERNIE,General-Purpose,2.4T,Undisclosed,Online: Qianfan / ERNIE,Yes
ERNIE 5.1,Baidu / ERNIE,General-Purpose,Undisclosed,Undisclosed,Online: Qianfan / ERNIE,Yes
ERNIE-Image,Baidu / ERNIE,Image Generation,8B,8B,Offline: Open Weight,No
Hunyuan-A13B-Instruct,Tencent / Hunyuan,General-Purpose,80B,13B/token,Offline: Open Weight,Yes
Hunyuan-T1,Tencent / Hunyuan,General-Purpose,Undisclosed,Undisclosed,Offline: Open Weight,Yes
hunyuan-turbos-latest,Tencent / Hunyuan,General-Purpose,Undisclosed,Undisclosed,Online: Tencent Cloud API,Yes
hunyuan-vision,Tencent / Hunyuan,General-Purpose,Undisclosed,Undisclosed,Online: Tencent Cloud API,No
tencent/Hunyuan-0.5B-Instruct,Tencent / Hunyuan,General-Purpose,0.5B,0.5B,Offline: Official Hugging Face / Open Weight,No
tencent/Hunyuan-1.8B-Instruct,Tencent / Hunyuan,General-Purpose,1.8B,1.8B,Offline: Official Hugging Face / Open Weight,No
tencent/Hunyuan-4B-Instruct,Tencent / Hunyuan,General-Purpose,4B,4B,Offline: Official Hugging Face / Open Weight,No
tencent/Hunyuan-7B-Instruct,Tencent / Hunyuan,General-Purpose,7B,7B,Offline: Official Hugging Face / Open Weight,No
tencent/Hunyuan-MT-7B,Tencent / Hunyuan,General-Purpose,7B,7B,Offline: Official Hugging Face / Open Weight,No
tencent/Tencent-Hunyuan-Large,Tencent / Hunyuan,General-Purpose,389B,52B/token,Offline: Official Hugging Face / Open Weight,No
tencent/Hy3,Tencent / Hunyuan,General-Purpose,299B,21B/token,Offline: Official Hugging Face / Open Weight,Yes
Hunyuan3D,Tencent / Hunyuan,Image Generation,Undisclosed,Undisclosed,Online: Tencent Cloud API,No
HunyuanImage,Tencent / Hunyuan,Image Generation,Undisclosed,Undisclosed,Online / Open Weight,No
tencent/Hunyuan3D-2,Tencent / Hunyuan,Image Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
tencent/HunyuanImage-3.0,Tencent / Hunyuan,Image Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
HunyuanVideo,Tencent / Hunyuan,Video Generation,Undisclosed,Undisclosed,Online / Open Weight,No
tencent/HunyuanVideo-1.5,Tencent / Hunyuan,Video Generation,8.3B,8.3B,Offline: Official Hugging Face / Open Weight,No
microsoft/Phi-3.5-mini-instruct,Microsoft,General-Purpose,3.8B,3.8B,Offline: Official Hugging Face / Open Weight,No
microsoft/Phi-Ground-Any,Microsoft,General-Purpose,4B-class,4B-class,Offline: Official Hugging Face / Open Weight,No
Phi-4,Microsoft,General-Purpose,14B,14B,Both: Foundry / Open Weight,No
Phi-4-mini-instruct,Microsoft,General-Purpose,3.8B,3.8B,Both: Foundry / Open Weight,No
Phi-4-mini-reasoning,Microsoft,General-Purpose,3.8B,3.8B,Both: Foundry / Open Weight,Yes
Phi-4-multimodal-instruct,Microsoft,General-Purpose,5.6B,5.6B,Both: Foundry / Open Weight,No
Phi-4-reasoning,Microsoft,General-Purpose,14B,14B,Both: Foundry / Open Weight,Yes
Phi-4-reasoning-plus,Microsoft,General-Purpose,14B,14B,Offline: Open Weight,Yes
MAI-Image-2,Microsoft,Image Generation,Undisclosed,Undisclosed,Online: Microsoft Foundry,No
MAI-Image-2-Efficient,Microsoft,Image Generation,Undisclosed,Undisclosed,Online: Microsoft Foundry,No
Amazon Nova 2 Lite,Amazon / Nova,General-Purpose,Undisclosed,Undisclosed,Online: Amazon Bedrock,Yes
amazon.nova-lite-v1:0,Amazon / Nova,General-Purpose,Undisclosed,Undisclosed,Online: Amazon Bedrock,No
amazon.nova-micro-v1:0,Amazon / Nova,General-Purpose,Undisclosed,Undisclosed,Online: Amazon Bedrock,No
amazon.nova-premier-v1:0,Amazon / Nova,General-Purpose,Undisclosed,Undisclosed,Online: Amazon Bedrock,No
amazon.nova-pro-v1:0,Amazon / Nova,General-Purpose,Undisclosed,Undisclosed,Online: Amazon Bedrock,No
nova-act-latest,Amazon / Nova,General-Purpose,Undisclosed,Undisclosed,Online: Nova Act,Yes
nova-act-preview,Amazon / Nova,General-Purpose,Undisclosed,Undisclosed,Online: Nova Act,Yes
nova-act-v1.0,Amazon / Nova,General-Purpose,Undisclosed,Undisclosed,Online: Nova Act,Yes
amazon.nova-canvas-v1:0,Amazon / Nova,Image Generation,Undisclosed,Undisclosed,Online: Amazon Bedrock (Legacy; EOL 2026-09-30),No
amazon.nova-reel-v1:1,Amazon / Nova,Video Generation,Undisclosed,Undisclosed,Online: Amazon Bedrock,No
Amazon Nova 2 Sonic,Amazon / Nova,Speech & Audio,Undisclosed,Undisclosed,Online: Amazon Bedrock,No
Amazon Nova Multimodal Embeddings,Amazon / Nova,Embedding,Undisclosed,Undisclosed,Online: Amazon Bedrock,No
CohereLabs/c4ai-command-a-03-2025,Cohere,General-Purpose,111B,111B,Both: API / Official Hugging Face Open Weight,No
CohereLabs/c4ai-command-r-plus,Cohere,General-Purpose,104B,104B,Both: API / Official Hugging Face Open Weight,No
CohereLabs/c4ai-command-r-v01,Cohere,General-Purpose,35B,35B,Both: API / Official Hugging Face Open Weight,No
CohereLabs/tiny-aya-global,Cohere,General-Purpose,3.35B,3.35B,Offline: Official Hugging Face / Open Weight,No
Command A Reasoning,Cohere,General-Purpose,Undisclosed,Undisclosed,Online: API,Yes
Command A Translate,Cohere,General-Purpose,Undisclosed,Undisclosed,Online: API,No
Command A Vision,Cohere,General-Purpose,Undisclosed,Undisclosed,Online: API,No
Command R,Cohere,General-Purpose,Undisclosed,Undisclosed,Online: API,No
Command R+,Cohere,General-Purpose,Undisclosed,Undisclosed,Online: API,No
Command R7B,Cohere,General-Purpose,Undisclosed,Undisclosed,Online: API,No
command-a-03-2025,Cohere,General-Purpose,111B,111B,Online: API,No
command-a-plus-05-2026,Cohere,General-Purpose,218B,25B/token,Online: API,Yes
north-mini-code-1-0,Cohere,Coding,30B,3B/token,Offline: Open Weight,Yes
CohereLabs/cohere-transcribe-03-2026,Cohere,Speech & Audio,2B,2B,Offline: Official Hugging Face / Open Weight,No
embed-english-light-v3.0,Cohere,Embedding,Undisclosed,Undisclosed,Online: API,No
embed-english-v3.0,Cohere,Embedding,Undisclosed,Undisclosed,Online: API,No
embed-multilingual-light-v3.0,Cohere,Embedding,Undisclosed,Undisclosed,Online: API,No
embed-multilingual-v3.0,Cohere,Embedding,Undisclosed,Undisclosed,Online: API,No
embed-v4.0,Cohere,Embedding,Undisclosed,Undisclosed,Online: API,No
rerank-v4.0,Cohere,Embedding,Undisclosed,Undisclosed,Online: API,No
Llama-3.1-Nemotron-Nano-8B-v1,NVIDIA,General-Purpose,8B,8B,Both: NIM / Open Weight,Yes
Nemotron 3 Nano 30B-A3B,NVIDIA,General-Purpose,30B,3B/token,Both: NIM / Open Weight,Yes
Nemotron 3 Nano Omni,NVIDIA,General-Purpose,Undisclosed,Undisclosed,Both: NIM / Open Weight,Yes
Nemotron 3 Super 120B-A12B,NVIDIA,General-Purpose,120B,12B/token,Both: NIM / Open Weight,Yes
Nemotron 3 Ultra 550B-A55B,NVIDIA,General-Purpose,550B,55B/token,Both: NIM / Open Weight,Yes
NVIDIA-Nemotron-Nano-9B-v2,NVIDIA,General-Purpose,9B,9B,Both: NIM / Open Weight,Yes
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,NVIDIA,General-Purpose,30B,3B/token,Offline: Official Hugging Face / Open Weight,Yes
nvidia/nemotron-3-8b-chat-4k-sft,NVIDIA,General-Purpose,8B,8B,Offline: Official Hugging Face / Open Weight,No
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,NVIDIA,General-Purpose,30B,3B/token,Both: NIM / Official Hugging Face Open Weight,Yes
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16,NVIDIA,General-Purpose,550B,55B/token,Both: NIM / Official Hugging Face Open Weight,Yes
nvidia/llama-nemotron-embed-vl-1b-v2,NVIDIA,Embedding,1B,1B,Both: NIM / Official Hugging Face Open Weight,No
nvidia/Nemotron-3.5-Content-Safety,NVIDIA,Safety & Moderation,4B-class,4B-class,Offline: Official Hugging Face / Open Weight,No
MiMo-7B-RL,Xiaomi / MiMo,General-Purpose,7B,7B,Offline: Open Weight,Yes
MiMo-V2-Flash,Xiaomi / MiMo,General-Purpose,309B,15B/token,Both: API / Open Weight,Yes
MiMo-V2-Pro,Xiaomi / MiMo,General-Purpose,Undisclosed,Undisclosed,Online: MiMo / API,Yes
MiMo-V2.5,Xiaomi / MiMo,General-Purpose,Undisclosed,Undisclosed,Offline: Open Weight,Yes
MiMo-VL-7B-RL,Xiaomi / MiMo,General-Purpose,7B,7B,Offline: Open Weight,Yes
XiaomiMiMo/MiMo-V2.5,Xiaomi / MiMo,General-Purpose,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
XiaomiMiMo/MiMo-V2.5-Pro,Xiaomi / MiMo,General-Purpose,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
MiMo-Audio-7B,Xiaomi / MiMo,Speech & Audio,7B,7B,Offline: Open Weight,Yes
XiaomiMiMo/MiMo-Audio-7B-Instruct,Xiaomi / MiMo,Speech & Audio,7B,7B,Offline: Official Hugging Face / Open Weight,Yes
XiaomiMiMo/MiMo-V2.5-ASR,Xiaomi / MiMo,Speech & Audio,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
step-3.5-flash,StepFun,General-Purpose,196B,11B/token,Both: API / Open Weight,Yes
step-3.5-flash-2603,StepFun,General-Purpose,196B,11B/token,Both: API / Open Weight,Yes
step-3.7-flash,StepFun,General-Purpose,Undisclosed,Undisclosed,Both: API / Open Weight,Yes
stepfun-ai/Step-3.5-Flash,StepFun,General-Purpose,196B,11B/token,Both: API / Official Hugging Face Open Weight,Yes
stepfun-ai/Step-3.7-Flash,StepFun,General-Purpose,198B,~11B/token,Both: API / Official Hugging Face Open Weight,Yes
stepfun-ai/Step-Audio-2-mini,StepFun,Speech & Audio,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
Granite Docling,IBM,General-Purpose,258M,258M,Both: watsonx / Open Weight,No
Granite Vision 4.1,IBM,General-Purpose,Undisclosed,Undisclosed,Both: watsonx / Open Weight,No
granite-4.1-30b-instruct,IBM,General-Purpose,30B,30B,Both: watsonx / Open Weight,No
granite-4.1-3b-instruct,IBM,General-Purpose,3B,3B,Both: watsonx / Open Weight,No
granite-4.1-8b-instruct,IBM,General-Purpose,8B,8B,Both: watsonx / Open Weight,No
ibm-granite/granite-3.3-8b-instruct,IBM,General-Purpose,8B,8B,Offline: Official Hugging Face / Open Weight,Yes
ibm-granite/granite-vision-3.2-2b,IBM,General-Purpose,2B,2B,Offline: Official Hugging Face / Open Weight,No
Granite Speech 4.1,IBM,Speech & Audio,Undisclosed,Undisclosed,Offline: Open Weight,No
Granite Embedding,IBM,Embedding,Undisclosed,Undisclosed,Both: watsonx / Open Weight,No
ibm-granite/granite-embedding-english-r2,IBM,Embedding,149M,149M,Offline: Official Hugging Face / Open Weight,No
Granite Guardian 4.1,IBM,Safety & Moderation,Undisclosed,Undisclosed,Both: watsonx / Open Weight,No
ai21labs/AI21-Jamba-Mini-1.7-FP8,AI21 Labs,General-Purpose,52B,12B/token,Offline: Official Hugging Face / Open Weight,No
ai21labs/AI21-Jamba-Reasoning-3B,AI21 Labs,General-Purpose,3B,3B,Offline: Official Hugging Face / Open Weight,Yes
ai21labs/AI21-Jamba2-Mini-FP8,AI21 Labs,General-Purpose,52B,12B/token,Offline: Official Hugging Face / Open Weight,No
jamba-large,AI21 Labs,General-Purpose,398B,94B/token,Both: API / Open Weight / Private,No
jamba-mini,AI21 Labs,General-Purpose,52B,12B/token,Both: API / Open Weight / Private,No
Jamba2 3B,AI21 Labs,General-Purpose,3B,3B,Offline: Open Weight / Private,No
Document OCR,Upstage,General-Purpose,Undisclosed,Undisclosed,Online: Upstage API,No
Document Parse,Upstage,General-Purpose,Undisclosed,Undisclosed,Online: Upstage API,No
Solar Mini,Upstage,General-Purpose,Undisclosed,Undisclosed,Online: Upstage API,No
Solar Open 2,Upstage,General-Purpose,250B,15B/token,Offline: Open Weight,Yes
Solar Pro 2,Upstage,General-Purpose,31B,31B,Online: Upstage API,Yes
Solar Pro 4,Upstage,General-Purpose,Undisclosed,Undisclosed,Online: Upstage API,Yes
upstage/SOLAR-10.7B-Instruct-v1.0,Upstage,General-Purpose,10.7B,10.7B,Offline: Official Hugging Face / Open Weight,No
upstage/Solar-Open-100B,Upstage,General-Purpose,102B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
Upstage Embed,Upstage,Embedding,Undisclosed,Undisclosed,Online: Upstage API,No
HCX-005,NAVER,General-Purpose,Undisclosed,Undisclosed,Online: CLOVA Studio / API,No
HCX-007,NAVER,General-Purpose,Undisclosed,Undisclosed,Online: CLOVA Studio / API,Yes
HCX-DASH-002,NAVER,General-Purpose,Undisclosed,Undisclosed,Online: CLOVA Studio / API,No
HyperCLOVA X 32B Think,NAVER,General-Purpose,32B,32B,Offline: Open Weight,Yes
naver-hyperclovax/HyperCLOVAX-SEED-Omni-8B,NAVER,General-Purpose,11B,Undisclosed,Offline: Official Hugging Face / Open Weight,No
naver-hyperclovax/HyperCLOVAX-SEED-Text-Instruct-1.5B,NAVER,General-Purpose,1.5B,1.5B,Offline: Official Hugging Face / Open Weight,No
naver-hyperclovax/HyperCLOVAX-SEED-Think-14B,NAVER,General-Purpose,14.74B,14.74B,Offline: Official Hugging Face / Open Weight,Yes
naver-hyperclovax/HyperCLOVAX-SEED-Think-32B,NAVER,General-Purpose,33B,33B,Offline: Official Hugging Face / Open Weight,Yes
naver-hyperclovax/HyperCLOVAX-SEED-Vision-Instruct-3B,NAVER,General-Purpose,4B-class,4B-class,Offline: Official Hugging Face / Open Weight,No
baichuan-inc/Baichuan-M1-14B-Instruct,Baichuan AI,General-Purpose,14B,14B,Offline: Official Hugging Face / Open Weight,No
baichuan-inc/Baichuan-M2-32B,Baichuan AI,General-Purpose,32B,32B,Offline: Official Hugging Face / Open Weight,Yes
baichuan-inc/Baichuan-M3-235B,Baichuan AI,General-Purpose,235B,Undisclosed,Offline: Official Hugging Face / Open Weight,Yes
baichuan-inc/Baichuan-Omni-1d5,Baichuan AI,General-Purpose,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
baichuan-inc/BaichuanMed-OCR-7B,Baichuan AI,General-Purpose,7B-class,7B-class,Offline: Official Hugging Face / Open Weight,No
Baichuan2-Turbo,Baichuan AI,General-Purpose,Undisclosed,Undisclosed,Online: API,No
Baichuan2-Turbo-192k,Baichuan AI,General-Purpose,Undisclosed,Undisclosed,Online: API,No
baichuan-inc/Baichuan-Audio-Instruct,Baichuan AI,Speech & Audio,10B-class,10B-class,Offline: Official Hugging Face / Open Weight,No
Spark 4.0 Ultra / 4.0Ultra,iFLYTEK,General-Purpose,Undisclosed,Undisclosed,Online: Spark API,No
Spark Lite / lite,iFLYTEK,General-Purpose,Undisclosed,Undisclosed,Online: Spark API,No
Spark Pro / generalv3,iFLYTEK,General-Purpose,Undisclosed,Undisclosed,Online: Spark API,No
Spark Pro-128K / pro-128k,iFLYTEK,General-Purpose,Undisclosed,Undisclosed,Online: Spark API,No
Spark-X2 / model=spark-x,iFLYTEK,General-Purpose,Undisclosed,Undisclosed,Online: Spark API,Yes
Spark-X2 / xsparkx2,iFLYTEK,General-Purpose,Undisclosed,Undisclosed,Online: Astron MaaS,Yes
Spark-X2-Agent / xsparkx2agent,iFLYTEK,General-Purpose,Undisclosed,Undisclosed,Online: Astron MaaS,Yes
Spark-X2-Flash / xsparkx2flash,iFLYTEK,General-Purpose,Undisclosed,Undisclosed,Online: Astron MaaS,Yes
SenseNova 6.7 Flash-Lite,SenseTime,General-Purpose,Undisclosed,Undisclosed,Online: SenseNova,Yes
SenseNova U1-8B-MoT,SenseTime,General-Purpose,8B,8B,Offline: Open Weight,Yes
SenseNova U1-A3B-MoT,SenseTime,General-Purpose,30B,3B/token,Offline: Open Weight,Yes
SenseNova-MARS-32B,SenseTime,General-Purpose,32B,32B,Offline: Open Weight,Yes
SenseNova-MARS-8B,SenseTime,General-Purpose,8B,8B,Offline: Open Weight,Yes
SenseNova U1 Fast,SenseTime,Image Generation,Undisclosed,Undisclosed,Online: SenseNova,Yes
Falcon Arabic,TII / Falcon,General-Purpose,Undisclosed,Undisclosed,Offline: Open Weight,No
Falcon H1 Tiny R 0.09B,TII / Falcon,General-Purpose,90M,90M,Offline: Open Weight,Yes
Falcon H1 Tiny R 0.6B,TII / Falcon,General-Purpose,0.6B,0.6B,Offline: Open Weight,Yes
Falcon H1R 7B,TII / Falcon,General-Purpose,7B,7B,Offline: Open Weight,Yes
Falcon Mamba 7B,TII / Falcon,General-Purpose,7B,7B,Offline: Open Weight,No
Falcon Perception 0.6B,TII / Falcon,General-Purpose,0.6B,0.6B,Offline: Open Weight,No
Falcon-E,TII / Falcon,General-Purpose,Undisclosed,Undisclosed,Offline: Open Weight,No
Falcon-H1,TII / Falcon,General-Purpose,Undisclosed,Undisclosed,Offline: Open Weight,Yes
Falcon-H1-Arabic,TII / Falcon,General-Purpose,Undisclosed,Undisclosed,Offline: Open Weight,Yes
tiiuae/falcon-11B,TII / Falcon,General-Purpose,11B,11B,Offline: Official Hugging Face / Open Weight,No
